ClassDefIdentifier,versionMajor,versionMinor,versionMicro,base,deprecated,base_typing_TypeAlias,fieldRename,typeC,typeStub,type_field_type,typeStub_typing_TypeAlias,list2Sequence,defaultValue,keywordArguments,kwargAnnotation,keywordArgumentsDefaultValue,classAs_astAttribute,classVersionMinorMinimum,attribute,attributeKind,attributeVersionMinorMinimum,TypeAliasSubcategory,type,ast_exprType,ast_arg,match_args,match_argsVersionMinorMinimum
AST,3,13,3,object,False,No,No,No,No,No,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AST')",-1,No,No,-1,No,No,No,No,No,No
Add,3,13,3,operator,False,No,No,No,No,No,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'Add')",-1,No,No,-1,No,No,No,No,No,No
And,3,13,3,boolop,False,No,No,No,No,No,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'And')",-1,No,No,-1,No,No,No,No,No,No
AnnAssign,3,13,3,stmt,False,No,No,expr,Name | Attribute | Subscript,expr,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AnnAssign')",-1,target,_field,-1,NameOrAttributeOrSubscript,ast.Name | ast.Attribute | ast.Subscript,"ast.BinOp(left=ast.BinOp(left=ast.Attribute(value=ast.Name('ast'), attr='Name'), op=ast.BitOr(), right=ast.Attribute(value=ast.Name('ast'), attr='Attribute')), op=ast.BitOr(), right=ast.Attribute(value=ast.Name('ast'), attr='Subscript'))","ast.arg('target', ast.BinOp(left=ast.BinOp(left=ast.Attribute(value=ast.Name('ast'), attr='Name'), op=ast.BitOr(), right=ast.Attribute(value=ast.Name('ast'), attr='Attribute')), op=ast.BitOr(), right=ast.Attribute(value=ast.Name('ast'), attr='Subscript')))","'target', 'annotation', 'value', 'simple'",-1.0
AnnAssign,3,13,3,stmt,False,No,No,expr,expr,expr,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AnnAssign')",-1,annotation,_field,-1,expr,ast.expr,"ast.Attribute(value=ast.Name('ast'), attr='expr')","ast.arg('annotation', ast.Attribute(value=ast.Name('ast'), attr='expr'))","'target', 'annotation', 'value', 'simple'",-1.0
AnnAssign,3,13,3,stmt,False,No,No,expr | None,expr | None,ast.expr | None,No,False,ast.Constant(None),False,No,No,"ast.Attribute(ast.Name('ast'), 'AnnAssign')",-1,value,_field,-1,exprOrNone,ast.expr | None,"ast.BinOp(left=ast.Attribute(value=ast.Name('ast'), attr='expr'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('value', ast.BinOp(left=ast.Attribute(value=ast.Name('ast'), attr='expr'), op=ast.BitOr(), right=ast.Constant(value=None)))","'target', 'annotation', 'value', 'simple'",-1.0
AnnAssign,3,13,3,stmt,False,No,No,int,int,int,No,False,"ast.Call(ast.Name('int'), args=[ast.Call(ast.Name('isinstance'), args=[ast.Name('target'), ast.Attribute(ast.Name('ast'), attr='Name')])])",True,int,"ast.Call(ast.Name('int'), args=[ast.Call(ast.Name('isinstance'), args=[ast.Name('target'), ast.Attribute(ast.Name('ast'), attr='Name')])])","ast.Attribute(ast.Name('ast'), 'AnnAssign')",-1,simple,_field,-1,int,int,ast.Name('int'),"ast.arg('simple', ast.Name('int'))","'target', 'annotation', 'value', 'simple'",-1.0
AnnAssign,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'AnnAssign')",-1,lineno,_attribute,-1,No,int,ast.Name('int'),"ast.arg('lineno', ast.Name('int'))","'target', 'annotation', 'value', 'simple'",-1.0
AnnAssign,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'AnnAssign')",-1,col_offset,_attribute,-1,No,int,ast.Name('int'),"ast.arg('col_offset', ast.Name('int'))","'target', 'annotation', 'value', 'simple'",-1.0
AnnAssign,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'AnnAssign')",-1,end_lineno,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_lineno', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'target', 'annotation', 'value', 'simple'",-1.0
AnnAssign,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'AnnAssign')",-1,end_col_offset,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_col_offset', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'target', 'annotation', 'value', 'simple'",-1.0
Assert,3,13,3,stmt,False,No,No,expr,expr,expr,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'Assert')",-1,test,_field,-1,expr,ast.expr,"ast.Attribute(value=ast.Name('ast'), attr='expr')","ast.arg('test', ast.Attribute(value=ast.Name('ast'), attr='expr'))","'test', 'msg'",-1.0
Assert,3,13,3,stmt,False,No,No,expr | None,expr | None,ast.expr | None,No,False,ast.Constant(None),False,No,No,"ast.Attribute(ast.Name('ast'), 'Assert')",-1,msg,_field,-1,exprOrNone,ast.expr | None,"ast.BinOp(left=ast.Attribute(value=ast.Name('ast'), attr='expr'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('msg', ast.BinOp(left=ast.Attribute(value=ast.Name('ast'), attr='expr'), op=ast.BitOr(), right=ast.Constant(value=None)))","'test', 'msg'",-1.0
Assert,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'Assert')",-1,lineno,_attribute,-1,No,int,ast.Name('int'),"ast.arg('lineno', ast.Name('int'))","'test', 'msg'",-1.0
Assert,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'Assert')",-1,col_offset,_attribute,-1,No,int,ast.Name('int'),"ast.arg('col_offset', ast.Name('int'))","'test', 'msg'",-1.0
