,astClass,versionMajor,versionMinor,versionMicro,base,base_typing_TypeAlias,field,fieldRename,_attribute,typeString,typeString_typing_TypeAlias,list2Sequence,defaultValue,keywordArguments,kwargAnnotation,keywordArgumentsDefaultValue,deprecated
0,AST,3,13,3,object,,,,,int,,False,,,,,
1,Add,3,13,3,operator,,,,,int,,False,,,,,
2,And,3,13,3,boolop,,,,,int,,False,,,,,
3,AnnAssign,3,13,3,stmt,,target,,,expr,,False,,,,,
4,AnnAssign,3,13,3,stmt,,annotation,,,expr,,False,,,,,
5,AnnAssign,3,13,3,stmt,,value,,,ast.expr | None,,False,,,,,
6,AnnAssign,3,13,3,stmt,,simple,,,int,,False,,,,,
7,AnnAssign,3,13,3,stmt,,,,lineno,int,,False,,,,,
8,AnnAssign,3,13,3,stmt,,,,col_offset,int,,False,,,,,
9,AnnAssign,3,13,3,stmt,,,,end_lineno,int,,False,,,,,
10,AnnAssign,3,13,3,stmt,,,,end_col_offset,int,,False,,,,,
11,Assert,3,13,3,stmt,,test,,,expr,,False,,,,,
12,Assert,3,13,3,stmt,,msg,,,ast.expr | None,,False,,,,,
13,Assert,3,13,3,stmt,,,,lineno,int,,False,,,,,
14,Assert,3,13,3,stmt,,,,col_offset,int,,False,,,,,
15,Assert,3,13,3,stmt,,,,end_lineno,int,,False,,,,,
16,Assert,3,13,3,stmt,,,,end_col_offset,int,,False,,,,,
17,Assign,3,13,3,stmt,,targets,,,list[ast.expr],,False,,,,,
18,Assign,3,13,3,stmt,,value,,,expr,,False,,,,,
19,Assign,3,13,3,stmt,,type_comment,,,str | None,,False,,,,,
20,Assign,3,13,3,stmt,,,,lineno,int,,False,,,,,
21,Assign,3,13,3,stmt,,,,col_offset,int,,False,,,,,
22,Assign,3,13,3,stmt,,,,end_lineno,int,,False,,,,,
23,Assign,3,13,3,stmt,,,,end_col_offset,int,,False,,,,,
24,AsyncFor,3,13,3,stmt,,target,,,expr,,False,,,,,
25,AsyncFor,3,13,3,stmt,,iter,,,expr,,False,,,,,
26,AsyncFor,3,13,3,stmt,,body,,,list[ast.stmt],,False,,,,,
27,AsyncFor,3,13,3,stmt,,orelse,orElse,,list[ast.stmt],,False,,,,,
28,AsyncFor,3,13,3,stmt,,type_comment,,,str | None,,False,,,,,
29,AsyncFor,3,13,3,stmt,,,,lineno,int,,False,,,,,
30,AsyncFor,3,13,3,stmt,,,,col_offset,int,,False,,,,,
31,AsyncFor,3,13,3,stmt,,,,end_lineno,int,,False,,,,,
32,AsyncFor,3,13,3,stmt,,,,end_col_offset,int,,False,,,,,
33,AsyncFunctionDef,3,13,3,stmt,,name,,,str,,False,,,,,
34,AsyncFunctionDef,3,13,3,stmt,,args,,,arguments,,False,,,,,
